tier,mode,examples_analyzed,included_leaf_count,skipped_empty_leaf_count,basic__AvgCorrectionAttemptsToSuccess,basic__AvgCorrectionLoops,basic__AvgModelCalls,basic__AvgReasoningTurns,basic__AvgReflectiveRefinementRounds,basic__AvgTotalTokens,basic__AvgWallTimeSeconds,basic__FinalPassRate,basic__Pass@1,basic__TotalCorrectionAttemptsToSuccess,basic__TotalEvaluatorAttempts,basic__TotalModelCalls,basic__TotalWallTimeSeconds
tier06,single_agent,497,50,0,1.5043731778425655,1.9678068410462777,20.462776659959758,1.9678068410462777,0.0,66776.32193158954,63.36937223340036,0.6901408450704225,0.4024144869215292,516,978,10170,31494.57799999998
tier07,baseline_llm,358,40,0,1.0,1.0,7.687150837988827,1.0,0.0,22156.36033519553,44.22827932960892,0.29329608938547486,0.29329608938547486,105,358,2752,15833.723999999993
tier07,broadcast,358,40,0,1.314878892733564,1.6396648044692737,218.15921787709496,35.365921787709496,8.335195530726256,1044015.2067039106,653.5318910614526,0.8072625698324022,0.6005586592178771,380,587,78101,233964.41700000004
tier07,per,358,40,0,1.3163636363636364,1.7067039106145252,100.99162011173185,11.452513966480447,1.9329608938547487,597743.282122905,472.73134916201144,0.7681564245810056,0.5837988826815642,362,1026,36155,169237.8230000001
tier07,single_agent,358,40,0,1.695852534562212,2.2094972067039107,21.97486033519553,2.2094972067039107,0.0,72761.8156424581,196.91632402234623,0.6061452513966481,0.27932960893854747,368,791,7867,70496.04399999995
tier08,baseline_llm,328,40,0,1.0,1.0,8.426829268292684,1.0,0.0,22163.048780487807,39.18587804878049,0.29878048780487804,0.29878048780487804,98,328,2764,12852.967999999999
tier08,broadcast,328,40,0,1.2852112676056338,1.5152439024390243,176.390243902439,31.85670731707317,8.076219512195122,863357.9634146341,531.8062987804879,0.8658536585365854,0.6585365853658537,365,498,57856,174432.46600000001
tier08,per,328,40,0,1.3576642335766422,1.6280487804878048,181.04268292682926,10.856707317073171,1.9481707317073171,536553.1341463415,404.23767073170734,0.8353658536585366,0.6036585365853658,372,890,59382,132589.956
tier08,single_agent,328,40,0,1.7356828193832599,2.125,22.079268292682926,2.125,0.0,68719.52134146342,210.6491646341465,0.6920731707317073,0.31402439024390244,394,697,7242,69092.92600000005
tier09,baseline_llm,146,20,0,1.0,1.0,6.657534246575342,1.0,0.0,20772.095890410958,36.516232876712316,0.2054794520547945,0.2054794520547945,30,146,972,5331.369999999998
tier09,broadcast,146,20,0,1.401639344262295,1.6643835616438356,197.22602739726028,40.32876712328767,9.58904109589041,1084256.8698630137,667.8511849315065,0.8356164383561644,0.5547945205479452,171,243,28795,97506.27299999994
tier09,per,146,20,0,1.425,1.7054794520547945,93.94520547945206,11.664383561643836,1.9109589041095891,544578.1643835617,795.2619383561648,0.821917808219178,0.5547945205479452,171,418,13716,116108.24300000006
tier09,single_agent,146,20,0,1.7916666666666667,2.2054794520547945,20.80821917808219,2.2054794520547945,0.0,66930.30821917808,299.80456849315055,0.6575342465753424,0.2876712328767123,172,322,3038,43771.46699999998
tier10,baseline_llm,15,10,0,1.0,1.0,1.9333333333333333,1.0,0.0,5899.533333333334,39.00553333333333,0.2,0.2,3,15,29,585.083
tier10,broadcast,15,10,0,1.5,1.6,54.86666666666667,38.733333333333334,7.133333333333334,289044.8,518.7796666666667,0.9333333333333333,0.6,21,24,823,7781.695
tier10,per,15,10,0,1.2727272727272727,1.7333333333333334,41.86666666666667,12.133333333333333,1.7333333333333334,202418.13333333333,2021.2598666666668,0.7333333333333333,0.6,14,46,628,30318.898
tier10,single_agent,15,10,0,1.75,2.3333333333333335,5.8,2.3333333333333335,0.0,20366.4,360.2794666666667,0.5333333333333333,0.26666666666666666,14,35,87,5404.192
